Customer_Age,Dependent_count,Education_Level,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_F,Gender_M,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Attrition_Flag
45,3,3,2,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
49,5,2,4,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
51,3,2,3,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
40,4,3,4,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
40,3,5,2,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
44,2,2,1,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
51,4,2,0,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
32,0,3,2,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
37,3,5,2,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
48,2,2,3,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
42,5,5,0,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
65,1,2,1,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
56,1,0,3,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
35,3,2,2,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
57,2,2,4,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
44,4,2,3,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
48,4,4,3,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
41,3,2,3,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
61,1,3,1,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
45,2,2,4,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
47,1,1,2,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
62,0,2,4,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
41,3,3,1,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
47,4,2,4,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
54,2,2,3,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
41,3,2,4,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
59,1,3,1,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
63,1,2,2,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
44,3,5,4,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
47,4,3,1,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
53,3,2,3,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
53,2,5,2,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
41,4,2,2,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
53,2,0,4,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
58,0,2,3,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
55,1,0,4,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
55,3,2,4,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
42,4,3,4,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
57,1,2,1,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
66,0,1,4,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
45,3,2,3,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
51,2,2,1,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
50,1,0,1,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
49,3,3,2,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
38,4,2,4,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
49,4,5,3,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
56,2,1,2,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
59,1,1,1,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
46,3,3,3,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
52,1,0,3,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
52,3,2,4,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
54,1,2,4,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
66,0,3,4,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
49,2,2,0,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
56,2,2,0,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
49,4,2,4,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
49,3,2,4,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
56,2,5,1,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
44,5,2,4,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
42,2,3,2,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
55,3,2,3,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
48,2,2,2,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
39,1,3,2,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
44,4,4,0,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
53,2,3,0,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
51,4,5,3,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
57,2,0,2,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
44,2,5,4,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
49,2,2,2,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
50,2,1,3,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
51,4,2,0,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
55,2,2,4,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
54,1,2,2,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
42,5,5,3,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
44,1,0,2,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
53,2,2,3,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
44,4,2,4,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
37,3,5,4,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
49,3,2,2,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
47,2,2,3,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
47,3,2,2,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
44,1,2,0,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
55,4,2,1,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
59,1,2,4,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
53,1,2,3,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
52,2,2,2,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
53,2,3,0,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
43,3,5,4,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
44,3,3,2,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
57,2,2,0,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
51,2,3,4,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
49,4,3,3,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
45,1,2,1,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
53,0,2,3,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
45,3,2,4,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
64,1,2,4,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
45,3,2,1,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
53,3,1,1,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
56,3,0,0,50,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
47,2,2,3,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
49,3,0,4,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
41,3,2,4,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
53,3,2,0,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
44,2,2,4,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
44,3,3,2,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
43,4,4,4,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
53,2,4,0,36,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
44,1,5,2,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
62,1,2,4,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
54,4,2,0,36,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.824,0.058,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
57,4,2,2,39,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
42,3,2,2,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
42,4,3,2,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
54,0,5,4,36,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
48,3,2,3,35,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056,0.095,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
49,1,2,3,36,6,2,2,18886.0,895,17991.0,1.826,1235,18,1.571,0.047,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
52,3,3,3,48,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.118,0.106,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
50,3,3,3,39,4,1,4,9964.0,1559,8405.0,1.873,1626,25,0.786,0.156,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
49,1,1,2,36,4,6,3,24159.0,1196,22963.0,0.712,1111,24,1.0,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
53,2,3,4,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
50,2,2,0,36,3,2,2,34516.0,1023,33493.0,1.004,1064,13,0.625,0.03,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
55,1,1,4,36,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611,0.615,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
53,1,3,3,47,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.533,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
47,3,3,1,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
55,2,0,0,42,2,3,2,34516.0,1527,32989.0,0.526,1268,42,0.355,0.044,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
47,3,2,2,36,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
58,4,2,0,52,6,1,0,32090.0,0,32090.0,0.567,1368,30,0.364,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
53,2,2,3,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
52,2,3,1,45,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.417,0.096,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
50,1,5,4,36,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765,0.176,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
42,1,2,4,36,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778,0.83,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
43,4,2,1,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
57,4,2,3,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
52,1,2,3,43,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7,0.678,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
47,2,1,4,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
44,3,2,1,38,3,1,0,11749.0,788,10961.0,0.688,1178,27,0.929,0.067,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
53,2,3,2,36,5,3,2,7753.0,2100,5653.0,0.839,991,26,0.733,0.271,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
45,4,0,2,40,5,1,0,10408.0,1186,9222.0,1.689,2560,42,1.211,0.114,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
63,1,0,4,36,6,2,3,3967.0,1568,2399.0,1.236,1657,29,1.231,0.395,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
39,2,4,4,27,4,2,2,6205.0,2517,3688.0,0.939,1204,19,0.727,0.406,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
48,5,3,4,38,1,3,3,8025.0,0,8025.0,0.654,673,18,0.8,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
51,1,2,0,42,6,2,3,9036.0,2327,6709.0,0.649,1131,18,0.636,0.258,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
54,4,2,3,34,2,3,2,14926.0,2517,12409.0,1.996,1576,25,1.5,0.169,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
59,1,2,4,36,3,2,3,6335.0,1128,5207.0,0.397,1217,20,0.667,0.178,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
59,1,0,2,53,2,3,3,14979.0,0,14979.0,0.71,530,10,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
48,4,5,4,38,3,2,3,2732.0,0,2732.0,0.76,739,16,0.455,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
41,2,2,4,32,6,3,2,2250.0,2117,133.0,1.162,1617,31,2.875,0.941,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
